,event,nHits,hitTime,isDN,pmt_id,pmt_x,pmt_y,pmt_z
4,22,12466,311.37003,False,14175,-5411.831999999999,16838.455,-7471.1797
5577,22,12466,40.53966,False,17319,12080.419,14903.948999999999,-758.8111
10779,22,12466,107.42973,False,16882,4993.4946,18464.752,-1660.7045
15941,22,12466,205.8328,False,14951,15409.293,9932.035,-5705.118
21107,22,12466,108.22518,False,10947,5650.681,11274.457,-14477.445
26113,22,12466,39.233364,False,16876,7990.026999999999,17379.342,-1660.7045
26114,22,12466,39.327682,False,16876,7990.026999999999,17379.342,-1660.7045
36552,22,12466,67.1477,False,4524,14490.438999999998,8729.465,9080.947
36553,22,12466,86.14903,False,4524,14490.438999999998,8729.465,9080.947
36554,22,12466,51.134914,False,4524,14490.438999999998,8729.465,9080.947
41482,22,12466,53.576237,False,6763,13116.708,13310.693000000001,4406.5186
41483,22,12466,32.943882,False,6763,13116.708,13310.693000000001,4406.5186
41484,22,12466,33.09592,False,6763,13116.708,13310.693000000001,4406.5186
46737,22,12466,25.896791,False,4940,5562.566,16404.695,8281.537
46738,22,12466,111.52995,False,4940,5562.566,16404.695,8281.537
46739,22,12466,28.401695,False,4940,5562.566,16404.695,8281.537
46740,22,12466,28.365597,False,4940,5562.566,16404.695,8281.537
46741,22,12466,22.779957,False,4940,5562.566,16404.695,8281.537
46742,22,12466,34.95987,False,4940,5562.566,16404.695,8281.537
46743,22,12466,24.23459,False,4940,5562.566,16404.695,8281.537
46744,22,12466,38.025883,False,4940,5562.566,16404.695,8281.537
46745,22,12466,61.600185,False,4940,5562.566,16404.695,8281.537
51913,22,12466,48.267593,False,5520,12173.596000000001,13101.635,6985.0376
51914,22,12466,64.78224,False,5520,12173.596000000001,13101.635,6985.0376
51915,22,12466,38.837143,False,5520,12173.596000000001,13101.635,6985.0376
51916,22,12466,45.728466,False,5520,12173.596000000001,13101.635,6985.0376
51917,22,12466,34.741127,False,5520,12173.596000000001,13101.635,6985.0376
57034,22,12466,102.41575,False,6328,15368.878999999999,10228.412,5274.196
78185,22,12466,112.19147,False,10957,278.98712,12608.162,-14477.445
88663,22,12466,152.40315,True,14785,1866.3422,18097.752,-6134.181
104206,22,12466,53.435375,False,3453,9381.389000000001,12263.368,11412.245
104207,22,12466,76.370316,False,3453,9381.389000000001,12263.368,11412.245
109766,22,12466,58.546738,False,3626,11392.81,10805.005,11049.694
109767,22,12466,51.281494,False,3626,11392.81,10805.005,11049.694
109768,22,12466,41.623127,False,3626,11392.81,10805.005,11049.694
109769,22,12466,48.01074,False,3626,11392.81,10805.005,11049.694
125693,22,12466,36.53175,False,6991,6482.3833,17631.025,3970.5962
125694,22,12466,43.897606,False,6991,6482.3833,17631.025,3970.5962
125695,22,12466,29.998512,False,6991,6482.3833,17631.025,3970.5962
125696,22,12466,27.330408,False,6991,6482.3833,17631.025,3970.5962
125697,22,12466,35.743675,False,6991,6482.3833,17631.025,3970.5962
125698,22,12466,26.671421,False,6991,6482.3833,17631.025,3970.5962
125699,22,12466,23.791834,False,6991,6482.3833,17631.025,3970.5962
125700,22,12466,21.191128,False,6991,6482.3833,17631.025,3970.5962
125701,22,12466,20.711226,False,6991,6482.3833,17631.025,3970.5962
125702,22,12466,54.479275,False,6991,6482.3833,17631.025,3970.5962
125703,22,12466,30.16076,False,6991,6482.3833,17631.025,3970.5962
125704,22,12466,23.642965,False,6991,6482.3833,17631.025,3970.5962
125705,22,12466,21.69155,False,6991,6482.3833,17631.025,3970.5962
125706,22,12466,30.514263,False,6991,6482.3833,17631.025,3970.5962
125707,22,12466,25.677366,False,6991,6482.3833,17631.025,3970.5962
125708,22,12466,21.011217,False,6991,6482.3833,17631.025,3970.5962
125709,22,12466,36.648598,False,6991,6482.3833,17631.025,3970.5962
125710,22,12466,25.165022,False,6991,6482.3833,17631.025,3970.5962
125711,22,12466,23.66854,False,6991,6482.3833,17631.025,3970.5962
125712,22,12466,22.76647,False,6991,6482.3833,17631.025,3970.5962
142150,22,12466,104.64047,False,6570,2717.761,18379.746,4841.353
142151,22,12466,36.42146,False,6570,2717.761,18379.746,4841.353
142152,22,12466,31.044128,False,6570,2717.761,18379.746,4841.353
142153,22,12466,525.26764,True,6570,2717.761,18379.746,4841.353
147963,22,12466,40.106125,False,3110,2872.1272,14607.51,12124.832
158895,22,12466,88.185745,False,17068,18746.791,3966.5989,-1209.9257
163971,22,12466,23.190138,False,7204,8363.07,16933.896,3455.7495
163972,22,12466,19.670717,False,7204,8363.07,16933.896,3455.7495
163973,22,12466,21.223526,False,7204,8363.07,16933.896,3455.7495
163974,22,12466,24.327364,False,7204,8363.07,16933.896,3455.7495
163975,22,12466,24.075357,False,7204,8363.07,16933.896,3455.7495
163976,22,12466,25.271341,False,7204,8363.07,16933.896,3455.7495
163977,22,12466,19.550325,False,7204,8363.07,16933.896,3455.7495
163978,22,12466,21.785532,False,7204,8363.07,16933.896,3455.7495
163979,22,12466,33.72981,False,7204,8363.07,16933.896,3455.7495
163980,22,12466,31.07294,False,7204,8363.07,16933.896,3455.7495
163981,22,12466,24.772142,False,7204,8363.07,16933.896,3455.7495
163982,22,12466,27.02191,False,7204,8363.07,16933.896,3455.7495
163983,22,12466,131.7787,False,7204,8363.07,16933.896,3455.7495
163984,22,12466,29.04228,False,7204,8363.07,16933.896,3455.7495
163985,22,12466,31.601234,False,7204,8363.07,16933.896,3455.7495
163986,22,12466,20.046242,False,7204,8363.07,16933.896,3455.7495
163987,22,12466,20.364983,False,7204,8363.07,16933.896,3455.7495
163988,22,12466,20.686712,False,7204,8363.07,16933.896,3455.7495
163989,22,12466,32.943573,False,7204,8363.07,16933.896,3455.7495
163990,22,12466,20.457413,False,7204,8363.07,16933.896,3455.7495
